OrderId,OrderStatus,OrderType,IsBusinessOrder,IsReplacementOrder,PurchaseDate,Year,YearMonth,YearQuarter,YearWeek,weekday,LastUpdateDate,LatestShipDate,NumberOfItemsShipped,NumberOfItemsUnshipped,ShipDate,Amount,PostalCode,CountryCode,City,Province,Region
148,Shipped,StandardOrder,0,0,2022-09-06 21:52:47,2022,202209,2022Q3,2022W36,2,2022-09-07 01:36:58,2022-09-06 23:59:59,1,0,2022-09-06 23:59:59,27.99,20833,IT,GIUSSANO,MB,LOMBARDIA
233,Shipped,StandardOrder,0,0,2022-09-23 12:46:45,2022,202209,2022Q3,2022W38,5,2022-09-26 00:29:15,2022-09-24 23:59:59,1,0,2022-09-24 23:59:59,27.99,46100,IT,MANTOVA,MN,LOMBARDIA
365,Shipped,StandardOrder,0,0,2022-10-06 20:21:37,2022,202210,2022Q4,2022W40,4,2022-10-06 23:31:55,2022-10-06 23:59:59,1,0,2022-10-06 23:59:59,19.99,35020,IT,MASERA' DI PADOVA,PD,VENETO
173,Shipped,StandardOrder,0,0,2022-09-15 11:10:23,2022,202209,2022Q3,2022W37,4,2022-09-16 00:23:21,2022-09-15 23:59:59,1,0,2022-09-15 23:59:59,27.99,20881,IT,BERNAREGGIO,MB,LOMBARDIA
268,Shipped,StandardOrder,0,0,2022-09-29 13:45:26,2022,202209,2022Q3,2022W39,4,2022-09-30 00:25:35,2022-09-29 23:59:59,1,0,2022-09-29 23:59:59,10.99,39100,IT,BOLZANO,BZ,TRENTINO-ALTO ADIGE
441,Shipped,StandardOrder,0,0,2022-10-10 18:31:36,2022,202210,2022Q4,2022W41,1,2022-10-11 01:13:30,2022-10-10 23:59:59,1,0,2022-10-10 23:59:59,19.99,26827,IT,TERRANOVA DEI PASSERINI,LO,LOMBARDIA
500,Shipped,StandardOrder,0,0,2022-10-12 22:56:12,2022,202210,2022Q4,2022W41,3,2022-10-14 03:40:04,2022-10-13 23:59:59,1,0,2022-10-13 23:59:59,19.99,00045,IT,GENZANO DI ROMA,RM,LAZIO
424,Shipped,StandardOrder,0,0,2022-10-10 08:22:58,2022,202210,2022Q4,2022W41,1,2022-10-10 13:53:03,2022-10-10 23:59:59,1,0,2022-10-10 23:59:59,18.99,31020,IT,FONTANE DI VILLORBA,TV,VENETO
349,Shipped,StandardOrder,0,0,2022-10-05 16:54:32,2022,202210,2022Q4,2022W40,3,2022-10-06 00:18:05,2022-10-05 23:59:59,1,0,2022-10-05 23:59:59,34.99,53100,IT,SIENA,SI,TOSCANA
363,Shipped,StandardOrder,1,0,2022-10-05 18:01:52,2022,202210,2022Q4,2022W40,3,2022-10-06 22:43:03,2022-10-06 23:59:59,1,0,2022-10-06 23:59:59,18.98,00186,IT,ROMA,RM,LAZIO
033,Shipped,StandardOrder,0,0,2022-08-10 13:56:02,2022,202208,2022Q3,2022W32,3,2022-08-11 01:28:20,2022-08-10 23:59:59,2,0,2022-08-10 23:59:59,30.38,14010,IT,SAN MARTINO ALFIERI,AT,PIEMONTE
121,Shipped,StandardOrder,0,0,2022-08-28 14:50:06,2022,202208,2022Q3,2022W34,7,2022-08-28 22:32:25,2022-08-28 23:59:59,2,0,2022-08-28 23:59:59,37.98,25056,IT,PONTE DI LEGNO,BS,LOMBARDIA
370,Shipped,StandardOrder,0,0,2022-10-06 00:08:52,2022,202210,2022Q4,2022W40,4,2022-10-07 01:27:09,2022-10-06 23:59:59,1,0,2022-10-06 23:59:59,19.99,20162,IT,MILANO,MI,LOMBARDIA
398,Shipped,StandardOrder,0,0,2022-10-07 21:17:53,2022,202210,2022Q4,2022W40,5,2022-10-08 23:46:51,2022-10-08 23:59:59,1,0,2022-10-08 23:59:59,18.99,28043,IT,BELLINZAGO NOVARESE,NO,PIEMONTE
487,Shipped,StandardOrder,0,0,2022-10-13 13:12:52,2022,202210,2022Q4,2022W41,4,2022-10-13 16:32:20,2022-10-13 23:59:59,1,0,2022-10-13 23:59:59,19.99,00072,IT,ARICCIA,RM,LAZIO
492,Shipped,StandardOrder,1,0,2022-10-13 11:42:27,2022,202210,2022Q4,2022W41,4,2022-10-13 21:20:36,2022-10-13 23:59:59,3,0,2022-10-13 23:59:59,58.81,41042,IT,FIORANO MODENESE,MO,EMILIA-ROMAGNA
021,Shipped,StandardOrder,0,0,2022-08-08 14:30:55,2022,202208,2022Q3,2022W32,1,2022-08-08 22:27:14,2022-08-08 23:59:59,1,0,2022-08-08 23:59:59,9.99,20121,IT,MILANO,MI,LOMBARDIA
266,Shipped,StandardOrder,0,0,2022-09-29 18:10:45,2022,202209,2022Q3,2022W39,4,2022-09-29 21:35:10,2022-09-29 23:59:59,1,0,2022-09-29 23:59:59,20.99,36033,IT,ISOLA VICENTINA,VI,VENETO
299,Shipped,StandardOrder,0,0,2022-10-02 14:03:01,2022,202210,2022Q4,2022W39,7,2022-10-02 22:05:26,2022-10-03 23:59:59,1,0,2022-10-03 23:59:59,18.99,24040,IT,PONTIROLO NUOVO,BG,LOMBARDIA
